Japanese,English
の,of
に,to
を,object marker
は,topic marker
年,year
が,subject marker
た,completed past tense
で,at
て,and
と,and
し,do
月,month
日,day
れ,syllable
さ,ness
者,person
する,to do
も,also
ます,indicating politeness
利用,use
こと,thing
ある,to exist
いる,to be
な,not
から,from
い,to be
ない,not to be
ページ,page
第,ordinal number prefix
へ,to
や,and
日本,Japan
として,as
です,is
か,question marker
会話,conversation
削除,deletion
この,this
市,city
県,prefecture
れる,to become
あり,to have
ん,explanation marker
よう,way
ため,because
的,adjectival suffix
編集,editing
ください,please
人,person
という,called
など,etcetera
依頼,request
なっ,he became
名,name
版,edition
でき,to be able to do
ませ,indicating politeness
リンク,link
駅,station
記事,article
‐,-
について,about
う,definitive negation
その,that
もの,thing
投稿,post
ば,if
町,town
まし,conclusive particle
なる,to become
場合,case
あっ,he was
ノート,note
号,number
方針,policy
回,times
さん,Mr./Mrs.
まで,until
だ,is
中,inside
ので,because
一,one
放送,broadcast
後,after
おり,there are
人物,personality
署名,signature
本,book
において,in
家,house
られ,received
また,also
選手,athlete
お,to be
活動,activity
東京,Tokyo
画像,image
会,meeting
学校,school
映画,movie
時,time
情報,information
性,gender
部,department
より,from
案内,guidance
質問,question
区,ward
ご,honorable
大,big
上,above
紹介,introduction
作成,creation
日本語,Japanese
これ,this
位,rank
国,country
二,two
一覧,list
作品,work
ようこそ,welcome
議論,discussion
使用,use
村,village
出典,citation
世界,world
テレビ,television
による,by
州,state
なり,achieves
三,three
問題,issue
昭和,Showa era
線,line
郡,county
番組,program
ファイル,file
脚注,footnote
賞,award
なく,without
なら,if
自己,self
話,tale
ず,without
により,by
分,minute
前,before
代表,representation
たら,if
せ,do
化,change
平成,Heisei era
に関する,related to
できる,to be able to do
出身,come from
仮,temporary
スタイル,style
ガイドライン,guideline
思い,thought
方,way
外部,external
数,number
五,five
内容,content
児童,children
関連,related
ヘルプ,help
現在,current
時代,era
元,origin
それ,that
研究,research
新,new
注意,attention
他,other
金,gold
局,bureau
機能,function
あなた,you
除去,removal
鉄道,railway
項目,item
目,eye
とき,time
用,use
曲,music
社,company
使い方,usage
必要,need
説明,explanation
基本,basic
によって,by
大学,university
変更,change
水,water
新しい,new
チーム,team
執筆,writing
道,road
間,among
型,type
でしょ,probably
サッカー,soccer
大会,tournament
ガイドブック,guidebook
地,ground
のみ,only
み,looking
書か,writing
べき,should
たり,and
ブロック,block
私,I
戦,battle
公式,official
出演,appearance
可能,possible
登場,appearance
等,etcetera
系,lineage
特別,special
監督,director
氏,Mister
次,next
だっ,I was
高等,higher
時間,time
き,arrive
内,within
音楽,music
歴史,history
所,place
発売,sale
だけ,only
語,language
なかっ,was not
ボックス,box
生徒,student
学,learning
記録,record
軍,army
万,ten thousand
！,!
場,place
全,whole
別,another
初,first
シリーズ,series
土,soil
木,tree
総合,overall
何,what
行っ,went
ゲーム,game
サイト,site
関係,relationship
られる,be done
お願い,request
同じ,same
サンド,sand
考え,thought
見,see
火,fire
アルバム,album
点,point
機,machine
アニメ,anime
国際,international
法,law
ドラマ,drama
大阪,Osaka
ただし,however
行わ,carry out
たち,we
柱,column
マニュアル,manual
リーグ,league
コメント,comment
教育,education
野球,baseball
方々,everyone
確認,confirmation
役,role
株式会社,corporation
同,same
こんにちは,hello
書く,write
長,long
所属,belonging
開始,start
主,main
形,form
アメリカ,America
＝,=
アカウント,account
ここ,here
選手権,championship
出場,participation
たい,want to
存在,existence
十,ten
記述,description
際,occasion
参考,reference
事典,encyclopedia
ら,be
史,history
以上,more than
以下,less than
作,work
競技,sport
方法,method
結果,result
世,world
続け,continue
における,in
歳,years old
システム,system
および,and
科,department
権,right
参加,participation
車,car
地域,region
委員,committee
その後,after that
高,high
クラブ,club
事業,business
都,metropolitan
今後,in the future
名前,name
よく,often
式,formula
小学校,elementary school
度,degree
期,period
作曲,composition
巻,volume
発言,remark
集,collection
和書,Japanese book
王,king
ソート,sort
バス,bus
一部,part
しかし,however
？,?
事,thing
多く,many
にて,at
開催,holding
開発,development
デフォルト,default
下さい,please
なお,still
百科,encyclopedia
自由,freedom
会社,company
御,honorable
作業,work
読み,reading
下,under
編,edit
南,south
事件,incident
受け,receive
に関して,regarding
世紀,century
カテゴリ,category
過去,past
代,generation
しまっ,did
表記,notation
中央,center
優勝,championship
以降,after
明治,Meiji era
各,each
ね,hey
選挙,election
出版,publishing
北,north
文章,sentence
発表,announcement
なさ,do
力,power
ラジオ,radio
意味,meaning
島,island
通り,street
もし,if
画面,screen
製作,production
店,store
テンプレート,template
どう,how
に対して,toward
